language,iso639_3,family,region_group,locality_lambda_per_char,locality_lambda_per_s,half_life_chars,half_life_seconds,memory_cost_bits_char,speech_char_rate_cps,morphology_index,ud_status,D_order,D_structure,ud_morph_feature_density,ud_mean_dependency_distance,locality_lambda_r2,locality_fit_rmse_bits,hilberg_alpha,hilberg_r2,locality_effective_train_chars,locality_effective_valid_chars,locality_eval_positions
Icelandic,isl,Indo-European,Western Europe,0.8396052851183022,8.217127812324529,0.8255631459755275,0.08435394901857587,2.8213973370363843,9.786893863068904,0.6086187698704731,loaded,0.269355150917892,0.41886168265061974,0.6063157894736843,2.7822885572139304,0.9983808390237224,0.0145185946678332,1.6520245273341752,0.7414194695232492,21114,5697,5213
Odia,ori,Indo-European,South Asia,0.775635660907781,7.304183763738883,0.8936504798512053,0.09489728119944445,5.169093146637417,9.417029324296774,,no_matching_treebank,,,,,0.9994653592733024,0.0112875777136626,2.872401788512113,-5.059172988579491,21632,5157,4673
Afrikaans,afr,Indo-European,Sub-Saharan Africa,0.7214722025448866,7.787924827486429,0.9607399676868644,0.08900280831083217,3.7653971409356335,10.794490487666296,0.2272921592928465,loaded,0.6999147274941211,0.20588005110368002,0.8173068697065617,3.3389489677361697,0.9975706151033428,0.0154169181302757,2.3363042061922954,-1.895629612863924,22388,5159,4684
Georgian,kat,Kartvelian,Eastern Europe,0.5730268541287735,5.347901032729124,1.209624253323698,0.12961107101980543,10.468633659419517,9.332723229629506,0.6687206107286742,loaded,0.35268841326143385,0.7119368688522492,0.942832469775475,3.2444931621254827,0.947122050128107,0.0843660163648459,1.5917132792342317,-1.569565538121664,99999,19984,16720
Slovak,slk,Indo-European,Eastern Europe,0.4473620644854468,4.187209808836821,1.549409830619409,0.16553915667113347,10.61372130442717,9.359778446241132,0.7395271531029869,loaded,0.263360307105569,0.747725148606817,0.7504928244756348,2.7599282715185445,0.9736714759193044,0.0494861448984699,1.5613928086362765,-3.4883300842952982,96382,19986,16406
Arabic,ara,Afro-Asiatic,Central Asia / Middle East / North Africa,0.5216076173385391,4.38409187144045,1.3288670592977017,0.15810507646414873,9.332481694484713,8.404961365038966,0.4045936719135697,loaded,0.5774374451309396,0.39238336108514393,0.7709805676696816,4.193482372805283,0.9863846008608674,0.0346977098321001,1.6262248002515367,-3.2364111641360296,83434,19935,15721
Punjabi,pan,Indo-European,South Asia,0.5470771414942658,4.432352891966477,1.2670008084540132,0.15638357266549247,10.812079719250288,8.101879160697733,0.4385430814086561,loaded,0.4141295872091195,0.32346856769142374,0.5632864544781643,3.470266040688576,0.9924251608049393,0.0315212968575182,1.5254776577266025,-1.541909777466762,92370,19995,16342
Latvian,lav,Indo-European,Eastern Europe,0.4287529306960663,4.011448332731784,1.6166587583078291,0.1727922493489812,10.199786095461992,9.35608376185168,0.8097623216567236,loaded,0.18987677069964404,0.8082260885931327,0.6578852399855648,3.447111734964264,0.9755059121858806,0.0454437752130044,1.5506693554262012,-3.450114874403849,99985,19979,16409
Oromo,orm,Afro-Asiatic,Sub-Saharan Africa,0.7913760032206743,7.013048225572769,0.8758759145324527,0.09883679083118449,6.981860494387649,8.861840891095593,,no_matching_treebank,,,,,0.978554364615724,0.0489786727006852,1.6672848184072977,-0.0358984662212642,99993,19961,16905
Hindi,hin,Indo-European,South Asia,0.5930092011051489,5.128603224427472,1.1688641243140518,0.13515320843275497,9.234011442452784,8.648437857068087,0.3324565065235258,loaded,0.5015308948392401,0.24977729667250181,0.8526525876986,3.4886984035073207,0.9921513441401368,0.033576597882197,1.696211282528084,-1.2622983960409426,93002,19975,16487
