feature,coefficient_log_outcome,abs_coefficient
cat__region_group_CJK,0.34609382741046263,0.34609382741046263
cat__region_group_Eastern Europe,-0.2310090561469348,0.2310090561469348
num__morphology_index,-0.21100269656752063,0.21100269656752063
num__n_chars,0.20832225928481762,0.20832225928481762
num__n_words,-0.19505215694720723,0.19505215694720723
cat__region_group_Western Europe,-0.17360006055426577,0.17360006055426577
cat__region_group_Sub-Saharan Africa,0.1698541855103631,0.1698541855103631
num__speech_char_rate_cps,0.15561049008624514,0.15561049008624514
num__mean_word_length_chars,-0.1521337783051655,0.1521337783051655
cat__region_group_North America,-0.14190215108711793,0.14190215108711793
cat__region_group_South/Southeast Asia,0.13971636563419337,0.13971636563419337
num__word_structure_redundancy,0.13715444069311805,0.13715444069311805
num__word_order_redundancy,-0.1234565520987178,0.1234565520987178
num__mean_duration_s,0.11581735143244563,0.11581735143244563
cat__region_group_Central Asia / Middle East / North Africa,-0.11003635595002903,0.11003635595002903
num__ud_mean_feats_per_token,0.06421987759739113,0.06421987759739113
num__lexical_ttr,0.06298937781148825,0.06298937781148825
num__ud_morph_feature_density,-0.054599171791914376,0.054599171791914376
cat__region_group_Pacific,0.046520737359289965,0.046520737359289965
cat__region_group_South Asia,-0.043343984063771705,0.043343984063771705
num__syllable_rate_sps,-0.0375768845292145,0.0375768845292145
num__ud_mean_dependency_distance,-0.028655762860455385,0.028655762860455385
num__ud_dependency_direction_entropy_bits,0.010447738312872453,0.010447738312872453
num__char_entropy_rate_bits,-0.009300392453183348,0.009300392453183348
num__word_rate_wps,-0.00895457482957771,0.00895457482957771
cat__region_group_Latin America / Caribbean,-0.0022935082385064282,0.0022935082385064282
