feature,coefficient_log_outcome,abs_coefficient
cat__region_group_CJK,-0.8668971501504619,0.8668971501504619
cat__region_group_South/Southeast Asia,0.3892712961366851,0.3892712961366851
num__word_structure_redundancy,0.37098289497072057,0.37098289497072057
num__morphology_index,-0.3049003793696457,0.3049003793696457
num__mean_word_length_chars,-0.29825826776058134,0.29825826776058134
cat__region_group_Latin America / Caribbean,0.2507997358867343,0.2507997358867343
num__n_words,-0.2284501753886644,0.2284501753886644
num__n_chars,0.22731273486432488,0.22731273486432488
num__word_order_redundancy,-0.21195036701308764,0.21195036701308764
cat__region_group_Sub-Saharan Africa,0.19134738634398205,0.19134738634398205
num__char_entropy_rate_bits,-0.1611208984572194,0.1611208984572194
cat__region_group_Pacific,0.12663316032770527,0.12663316032770527
num__mean_duration_s,-0.12142758296869258,0.12142758296869258
cat__region_group_Eastern Europe,-0.09616911604658503,0.09616911604658503
num__ud_mean_feats_per_token,0.07722666791388419,0.07722666791388419
num__word_rate_wps,-0.07670388394143117,0.07670388394143117
num__ud_morph_feature_density,-0.07035060592040693,0.07035060592040693
cat__region_group_Central Asia / Middle East / North Africa,-0.059385791706605955,0.059385791706605955
num__lexical_ttr,0.05634367176822547,0.05634367176822547
cat__region_group_South Asia,0.036716636489067325,0.036716636489067325
cat__region_group_North America,0.017570231989168343,0.017570231989168343
num__ud_mean_dependency_distance,-0.014177655750617664,0.014177655750617664
num__ud_dependency_direction_entropy_bits,-0.013975398910386879,0.013975398910386879
cat__region_group_Western Europe,0.010113610792198871,0.010113610792198871
num__syllable_rate_sps,-0.0011774170575372701,0.0011774170575372701
