language,iso639_3,locality_lambda_per_s,morphology_index,ud_status,family
Icelandic,isl,8.217127812324529,0.6086187698704731,loaded,Indo-European
Odia,ori,7.304183763738883,,no_matching_treebank,Indo-European
Afrikaans,afr,7.787924827486429,0.2272921592928465,loaded,Indo-European
Georgian,kat,5.347901032729124,0.6687206107286742,loaded,Kartvelian
Slovak,slk,4.187209808836821,0.7395271531029869,loaded,Indo-European
Arabic,ara,4.38409187144045,0.4045936719135697,loaded,Afro-Asiatic
Punjabi,pan,4.432352891966477,0.4385430814086561,loaded,Indo-European
Latvian,lav,4.011448332731784,0.8097623216567236,loaded,Indo-European
Oromo,orm,7.013048225572769,,no_matching_treebank,Afro-Asiatic
Hindi,hin,5.128603224427472,0.3324565065235258,loaded,Indo-European
Galician,glg,5.96000031155125,0.6969819402361511,loaded,Indo-European
Macedonian,mkd,6.059503517308033,,no_matching_treebank,Indo-European
Urdu,urd,3.5967199237674614,0.101435002813638,loaded,Indo-European
Khmer,khm,5.7576719912338215,,no_matching_treebank,Austroasiatic
Estonian,est,5.252937801838255,0.8941963401640175,loaded,Uralic
Cantonese Chinese,yue,1.2463291850983842,,no_matching_treebank,Sino-Tibetan
Japanese,jpn,4.128161514575235,0.995265794548589,loaded,Japonic
Lao,lao,5.0779530776492185,,no_matching_treebank,Kra-Dai
English (US),eng,4.575308464478771,0.6313566273631956,loaded,Indo-European
Asturian,ast,5.466553218529785,,no_matching_treebank,Indo-European
Slovenian,slv,3.82468048692186,0.8501039006611164,loaded,Indo-European
Filipino,fil,7.780387139339136,,no_matching_treebank,Austronesian
Dutch,nld,5.854126786977227,0.582471862487969,loaded,Indo-European
Swedish,swe,3.736173398605055,0.7161511016418065,loaded,Indo-European
Telugu,tel,4.74169766510011,0.8439342979427815,loaded,Dravidian
Korean,kor,2.533296626113133,0.7255881258271853,loaded,Koreanic
Russian,rus,5.865196411604735,0.8496586991763984,loaded,Indo-European
Spanish (Latin America),spa,6.183854141298703,0.5237412842195477,loaded,Indo-European
Luxembourgish,ltz,4.722967841865365,,no_matching_treebank,Indo-European
Kannada,kan,5.724417546194863,,no_matching_treebank,Dravidian
Turkish,tur,4.44031833911422,0.6143621593677137,loaded,Turkic
Czech,ces,4.062975095682299,0.6038176776946489,loaded,Indo-European
Tajik,tgk,4.839008029212672,,no_matching_treebank,Indo-European
Thai,tha,5.29174381728643,0.963434697654622,loaded,Kra-Dai
Tamil,tam,8.960269791494056,0.7187910558556193,loaded,Dravidian
Finnish,fin,5.065846460230069,0.9138859070318126,loaded,Uralic
Italian,ita,6.757088491882955,0.6351178770545032,loaded,Indo-European
Gujarati,guj,5.713481567959371,,no_matching_treebank,Indo-European
Vietnamese,vie,10.287526527295508,0.4563804494742411,loaded,Austroasiatic
Polish,pol,4.764392725757713,0.6544732520189546,loaded,Indo-European
Indonesian,ind,6.563092123584813,0.6517539136763068,loaded,Austronesian
Kyrgyz,kir,5.820801371559536,0.5148484070611993,loaded,Turkic
Azerbaijani,aze,4.727375196551479,,no_matching_treebank,Turkic
Hungarian,hun,4.527768442087871,0.8049552148126257,loaded,Uralic
Bulgarian,bul,5.471917186611087,0.6746733628902368,loaded,Indo-European
Belarusian,bel,4.431857694622515,0.5922452034972705,loaded,Indo-European
Mongolian,mon,4.58237241145535,,no_matching_treebank,Mongolic
Hebrew,heb,4.182584363283628,0.661429627438853,loaded,Afro-Asiatic
Malay,msa,6.293791270444561,,no_matching_treebank,Austronesian
Lithuanian,lit,3.908595376632557,0.5175792366233596,loaded,Indo-European
Mandarin Chinese,cmn,1.4613523701569493,,no_matching_treebank,Sino-Tibetan
Luo,luo,4.839987620022611,,no_matching_treebank,Nilotic
Bosnian,bos,4.285692186741942,,no_matching_treebank,Indo-European
Maltese,mlt,3.802462032714877,0.5684971850573237,loaded,Afro-Asiatic
Shona,sna,7.308501931433771,,no_matching_treebank,Niger-Congo
Uzbek,uzb,5.158373092769904,0.8266610649564983,loaded,Turkic
Greek,ell,7.159574378590774,0.6204354740950617,loaded,Indo-European
Malayalam,mal,7.035873586126663,,no_matching_treebank,Dravidian
Yoruba,yor,3.222416683328696,,no_matching_treebank,Niger-Congo
French,fra,5.245699425443804,0.7031003683652847,loaded,Indo-European
Portuguese (Brazil),por,5.1650856509983845,0.072561915546632,loaded,Indo-European
Armenian,hye,6.431105929456498,0.646830170548999,loaded,Indo-European
Central Kurdish,ckb,5.65086857980346,0.7813992221114058,loaded,Indo-European
Kabuverdianu,kea,4.188719619184763,,no_matching_treebank,Creole
Serbian,srp,6.057918591530021,0.6070715067024663,loaded,Indo-European
Assamese,asm,4.533973163637864,0.8112372413579316,loaded,Indo-European
Bengali,ben,5.241121267720018,,no_matching_treebank,Indo-European
Nyanja,nya,6.443718971763041,,no_matching_treebank,Niger-Congo
