language,fleurs_config,fleurs_lang_code,iso639_3,region_group,analysis_version,fleurs_revision,ud_revision,fleurs_n_utterances,fleurs_train_files,fleurs_downloaded_bytes,ud_status,ud_treebank,ud_downloaded_bytes,max_lag_characters,max_lag_rule,memory_cost_bits_char,word_rate_wps,syllable_rate_sps,speech_char_rate_cps,seconds_per_character,mean_duration_s,median_duration_s,estimated_syllable_total,syllable_estimator,locality_lambda_per_char,locality_lambda_per_s,locality_quality_status,locality_lambda_r2,locality_fit_rmse_bits,hilberg_alpha,hilberg_r2,hilberg_alpha_at_bound,locality_amplitude,n_decay_points,n_positive_information_points,decay_start_lag,decay_end_lag,decay_start_seconds,decay_end_seconds,decay_fit_method,lambda_q025,lambda_q975,lambda_bootstrap_n,lambda_bootstrap_method,n_words,n_word_types,mean_word_length_chars,median_word_length_chars,lexical_ttr,n_chars,mean_chars_per_utterance,H_original,H_order,H_structure,word_order_redundancy,word_structure_redundancy,word_order_redundancy_raw,word_structure_redundancy_raw,morphology_index,morphology_index_status,morphology_estimator_version,char_entropy_rate_bits,morphology_corpus_characters,morphology_character_definition,ud_n_sentences,ud_n_tokens,ud_morph_feature_density,ud_mean_feats_per_token,ud_dependency_direction_entropy_bits,ud_mean_dependency_distance,morphology_source,locality_estimator,locality_effective_train_chars,locality_effective_valid_chars,locality_eval_positions,locality_requested_train_chars,locality_requested_valid_chars,locality_target_unit,locality_train_valid_fraction,speech_time_source
Icelandic,is_is,is,isl,Western Europe,2026-09-16-hf-fleurs-ud-v1,main,2.18,250,1,651355592,loaded,is_icepahc,10950007,10,low_resource_fixed_lag,2.8213973370363843,1.888679603428388,3.6817206185115423,9.786893863068904,0.1021774644735369,10.95792,10.5,10086.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.8396052851183022,8.217127812324529,identified,0.9983808390237224,0.0145185946678332,1.6520245273341752,0.7414194695232492,False,2.328168478267311,5,5,1.0,5.0,0.1021774644735369,0.5108873223676849,nonlinear_exponential_least_squares_positive_prefix,7.87535660170142,8.741218202032385,300,parametric_residual_positive_prefix,22652.0,4439.0,4.311848843369239,4.0,0.195965036199894,119324.0,119.324,2.0289439643982567,2.2982991153161487,2.4478056470488765,0.269355150917892,0.4188616826506197,0.269355150917892,0.4188616826506197,0.6086187698704731,identified,koplenig_lz_longest_match_v6_ud_annotations,2.0289439643982567,120323.0,normalized_utterances_joined_by_single_spaces; Koplenig-style entropy-rate corpus,1000.0,26125.0,0.6063157894736843,2.588593301435407,0.9960813292673668,2.7822885572139304,Universal Dependencies 2.18 treebank,held-out character-level interpolated Kneser-Ney,21114,5697,5213,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Odia,or_in,or,ori,South Asia,2026-09-16-hf-fleurs-ud-v1,main,2.18,250,1,779973028,no_matching_treebank,,0,10,low_resource_fixed_lag,5.169093146637417,1.6381110400247476,1.644790033535578,9.417029324296774,0.1061906006196573,11.37896,10.71,4679.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.775635660907781,7.304183763738883,identified,0.9994653592733024,0.0112875777136626,2.872401788512113,-5.059172988579491,False,3.465017905605191,10,10,1.0,10.0,0.1061906006196573,1.061906006196573,nonlinear_exponential_least_squares_positive_prefix,,,32,parametric_residual_positive_prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,held-out character-level interpolated Kneser-Ney,21632,5157,4673,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Afrikaans,af_za,af,afr,Sub-Saharan Africa,2026-09-16-hf-fleurs-ud-v1,main,2.18,250,1,825084625,loaded,af_afribooms,474283,10,low_resource_fixed_lag,3.7653971409356335,2.2245733654656243,3.782205764219519,10.794490487666296,0.0926398518894979,10.2078,9.12,9652.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.7214722025448866,7.787924827486429,identified,0.9975706151033428,0.0154169181302757,2.3363042061922954,-1.895629612863924,False,2.102226791667474,10,10,1.0,10.0,0.0926398518894979,0.9263985188949796,nonlinear_exponential_least_squares_positive_prefix,,,47,parametric_residual_positive_prefix,21377.0,3771.0,5.288534406137438,4.0,0.1764045469429761,133430.0,133.43,1.2873655246052509,1.987280252099372,1.493245575708931,0.6999147274941211,0.20588005110368,0.6999147274941211,0.20588005110368,0.2272921592928465,identified,koplenig_lz_longest_match_v6_ud_annotations,1.2873655246052509,134429.0,normalized_utterances_joined_by_single_spaces; Koplenig-style entropy-rate corpus,1000.0,23378.0,0.8173068697065617,1.4653520403798443,0.982625638151871,3.3389489677361697,Universal Dependencies 2.18 treebank,held-out character-level interpolated Kneser-Ney,22388,5159,4684,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Georgian,ka_ge,ka,kat,Eastern Europe,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1161929439,loaded,ka_glc,1254556,20,standard_fixed_lag,10.468633659419517,1.31758934499432,1.3252501494201945,9.332723229629506,0.1071498613422074,12.07445,11.4,19202.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.5730268541287735,5.347901032729124,identified,0.947122050128107,0.0843660163648459,1.5917132792342317,-1.569565538121664,False,2.633430230360548,20,20,1.0,20.0,0.1071498613422074,2.1429972268441486,nonlinear_exponential_least_squares_positive_prefix,4.179433234709472,6.193624163225452,122,parametric_residual_positive_prefix,31251.0,11802.0,7.82618156219001,8.0,0.3776519151387155,273613.0,123.58310749774164,1.6862224030329662,2.0389108162944,2.3981592718852154,0.3526884132614338,0.7119368688522492,0.3526884132614338,0.7119368688522492,0.6687206107286742,identified,koplenig_lz_longest_match_v6_ud_annotations,1.6862224030329662,275826.0,normalized_utterances_joined_by_single_spaces; Koplenig-style entropy-rate corpus,2214.0,40530.0,0.942832469775475,2.6048359240069083,0.9587745348514388,3.2444931621254827,Universal Dependencies 2.18 treebank,held-out character-level interpolated Kneser-Ney,99999,19984,16720,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Slovak,sk_sk,sk,slk,Eastern Europe,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1333419854,loaded,sk_snk,1707764,20,standard_fixed_lag,10.61372130442717,1.6928033772380475,3.826591100345442,9.359778446241132,0.1068401357728288,10.75435,10.38,49383.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.4473620644854468,4.187209808836821,identified,0.9736714759193044,0.0494861448984699,1.5613928086362765,-3.4883300842952982,False,1.863729902012386,20,20,1.0,20.0,0.1068401357728288,2.136802715456578,nonlinear_exponential_least_squares_positive_prefix,3.498687460376326,4.676287032969719,132,parametric_residual_positive_prefix,41461.0,15218.0,5.349822724970454,5.0,0.3670437278406213,258270.0,51.654,2.292364960854371,2.55572526795994,3.040090109461188,0.263360307105569,0.747725148606817,0.263360307105569,0.747725148606817,0.7395271531029869,identified,koplenig_lz_longest_match_v6_ud_annotations,2.292364960854371,263269.0,normalized_utterances_joined_by_single_spaces; Koplenig-style entropy-rate corpus,5000.0,50728.0,0.7504928244756348,3.060045734111339,0.9922943985474214,2.7599282715185445,Universal Dependencies 2.18 treebank,held-out character-level interpolated Kneser-Ney,96382,19986,16406,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Arabic,ar_eg,ar,ara,Central Asia / Middle East / North Africa,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1381311999,loaded,ar_padt,9721827,20,standard_fixed_lag,9.332481694484713,1.7501874297814213,1.751893344658442,8.404961365038966,0.1189773464229795,10.258425104166664,9.72,21566.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.5216076173385391,4.38409187144045,identified,0.9863846008608674,0.0346977098321001,1.6262248002515367,-3.2364111641360296,False,2.0314921798665737,20,20,1.0,20.0,0.1189773464229795,2.3795469284595905,nonlinear_exponential_least_squares_positive_prefix,,,49,parametric_residual_positive_prefix,148889.0,28739.0,4.876135913331408,5.0,0.1930229902813505,869892.0,173.9784,1.8837051536523888,2.4611425987833284,2.2760885147375327,0.5774374451309392,0.3923833610851435,0.5774374451309392,0.3923833610851435,0.4045936719135697,identified,koplenig_lz_longest_match_v6_ud_annotations,1.8837051536523888,874891.0,normalized_utterances_joined_by_single_spaces; Koplenig-style entropy-rate corpus,5000.0,192154.0,0.7709805676696816,2.387371587372628,0.8988998977106716,4.193482372805283,Universal Dependencies 2.18 treebank,held-out character-level interpolated Kneser-Ney,83434,19935,15721,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Punjabi,pa_in,pa,pan,South Asia,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1455452751,loaded,pa_cs,61536,20,standard_fixed_lag,10.812079719250288,2.0025420634251847,2.0025420634251847,8.101879160697733,0.1234281553902959,11.867,11.34,28517.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.5470771414942658,4.432352891966477,identified,0.9924251608049393,0.0315212968575182,1.5254776577266025,-1.541909777466762,False,2.5625909453392937,20,20,1.0,20.0,0.1234281553902959,2.468563107805918,nonlinear_exponential_least_squares_positive_prefix,4.004715584768022,4.680610797132652,94,parametric_residual_positive_prefix,1210.0,528.0,3.750413223140496,3.0,0.4363636363636363,5675.0,77.73972602739725,2.0621453300934123,2.476274917302532,2.385613897784836,0.4141295872091195,0.3234685676914233,0.4141295872091195,0.3234685676914233,0.4385430814086561,identified,koplenig_lz_longest_match_v6_ud_annotations,2.0621453300934123,5747.0,normalized_utterances_joined_by_single_spaces; Koplenig-style entropy-rate corpus,73.0,1351.0,0.5632864544781643,1.8201332346410064,0.9756797868933084,3.470266040688576,Universal Dependencies 2.18 treebank,held-out character-level interpolated Kneser-Ney,92370,19995,16342,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Latvian,lv_lv,lv,lav,Eastern Europe,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1474247027,loaded,lv_lvtb,6666713,20,standard_fixed_lag,10.199786095461992,1.5475355700192983,3.730956405000779,9.35608376185168,0.1068823265646018,11.1236,10.65,49802.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.4287529306960663,4.011448332731784,identified,0.9755059121858806,0.0454437752130044,1.5506693554262012,-3.450114874403849,False,1.7238684213078097,20,20,1.0,20.0,0.1068823265646018,2.1376465312920376,nonlinear_exponential_least_squares_positive_prefix,3.612752682237797,4.231399178627116,56,parametric_residual_positive_prefix,61243.0,20847.0,5.604542559966037,5.0,0.340398086311905,399482.0,79.8964,2.302749598809722,2.4926263695093662,3.110975687402855,0.1898767706996436,0.8082260885931323,0.1898767706996436,0.8082260885931323,0.8097623216567236,identified,koplenig_lz_longest_match_v6_ud_annotations,2.302749598809722,404481.0,normalized_utterances_joined_by_single_spaces; Koplenig-style entropy-rate corpus,5000.0,74817.0,0.6578852399855648,2.798307871205742,0.9574688699975004,3.447111734964264,Universal Dependencies 2.18 treebank,held-out character-level interpolated Kneser-Ney,99985,19979,16409,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Oromo,om_et,om,orm,Sub-Saharan Africa,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1525768979,no_matching_treebank,,0,20,standard_fixed_lag,6.981860494387649,1.387842093669816,3.2823727622891776,8.861840891095593,0.1128433710658022,13.99775,13.56,55135.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.7913760032206743,7.013048225572769,identified,0.978554364615724,0.0489786727006852,1.6672848184072977,-0.0358984662212642,False,3.1782408041009305,20,20,1.0,20.0,0.1128433710658022,2.256867421316046,nonlinear_exponential_least_squares_positive_prefix,5.915892051015946,8.114275377269538,138,parametric_residual_positive_prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,held-out character-level interpolated Kneser-Ney,99993,19961,16905,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
Hindi,hi_in,hi,hin,South Asia,2026-09-16-hf-fleurs-ud-v1,main,2.18,1200,1,1529543468,loaded,hi_hdtb,9524466,20,standard_fixed_lag,9.234011442452784,2.1637496738010253,2.167582972487236,8.648437857068087,0.1156278181709697,11.30445,10.8,29404.0,"unicode_orthographic_heuristic_v2; approximate, not gold phonological annotation",0.5930092011051489,5.128603224427472,identified,0.9921513441401368,0.033576597882197,1.696211282528084,-1.2622983960409426,False,2.8234300035970774,20,20,1.0,20.0,0.1156278181709697,2.312556363419395,nonlinear_exponential_least_squares_positive_prefix,,,36,parametric_residual_positive_prefix,95199.0,10206.0,3.991523020199792,4.0,0.1072070084769798,470188.0,94.0376,1.9318774451007503,2.4334083399399904,2.181654741773252,0.5015308948392401,0.2497772966725018,0.5015308948392401,0.2497772966725018,0.3324565065235258,identified,koplenig_lz_longest_match_v6_ud_annotations,1.9318774451007503,475187.0,normalized_utterances_joined_by_single_spaces; Koplenig-style entropy-rate corpus,5000.0,101712.0,0.8526525876986,2.898192936919931,0.9804335364541252,3.4886984035073207,Universal Dependencies 2.18 treebank,held-out character-level interpolated Kneser-Ney,93002,19975,16487,100000,20000,Unicode character excluding whitespace as eligible target; whitespace retained inside context stream,0.8,FLEURS num_samples at 16 kHz
